index,c1D,c2D,tot_c2D,f1D,f2D,area,mass,n_frags,lat_min,lat_max,lon_min,lon_max,drag,heat_flux,heat_flux_CT,heat_flux_TR,heat_flux_FM,density
source_0829_133953_300_175,2.203782669528289e-06,0.0,0.0,2.169010875796573e-06,0.0,20.921848573623517,183.07638002044916,15,-53.99329302887633,-39.45795698621794,-117.04673083575733,-111.99977224048202,1.0,1.0,0.8579211674457641,1.484965229681957,0.9163054597806908,0.9021142544814662
source_0829_133953_300_176,2.0702820826063455e-06,0.0,0.0,2.0180198849750752e-06,0.0,18.759570589384353,150.3073719565902,13,-54.641055446451126,-39.25587228888968,-117.33855466727918,-111.9446856307473,1.0,1.0,1.0462053069239352,0.975069144867968,0.9309633921945764,0.8367847829345058
source_0829_133953_300_177,1.06920278795778e-05,0.0,0.0,2.3883169673055704e-06,0.0,15.12956827694223,91.21339675676928,9,-52.18106633061483,-37.04298056339857,-116.27267116323817,-111.34422983032144,1.0,1.0,1.2784204362147258,0.9000569760263745,1.0534957258045348,1.0984852103318565
source_0829_133953_300_178,4.186007446043704e-06,0.0,0.0,3.811905035289165e-06,0.0,18.759570589384353,143.28075773123805,13,-52.879546831686184,-38.292796259654395,-116.56335392665683,-111.67925622069195,1.0,1.0,1.1447256673351562,0.589207440926622,0.9024827793811949,1.0327559645569515
source_0829_133953_300_179,1.5108525137518015e-06,0.0,0.0,1.3514669525704903e-06,0.0,26.394535880289972,260.8215262183311,21,-52.93260372358225,-40.050349465087166,-116.58587940635714,-112.16457110155139,1.0,1.0,0.7293873479056385,0.6800274433738686,0.9102068020121061,1.0259641349664328
source_0829_133953_300_18,2.9990604440238926e-06,0.0,0.0,2.7216713519573332e-06,0.0,25.516202713087875,222.857406344851,20,-52.35126941993227,-39.10650168744323,-116.34168663407971,-111.90074937096225,1.0,1.0,0.8048027162405502,1.1349785994050985,0.9150505128938681,1.104235669676438
source_0829_133953_300_180,3.2848128550906368e-06,0.0,0.0,3.2429529726041295e-06,0.0,20.921848573623517,188.85719843870356,15,-54.005260280497524,-39.94836301988444,-117.0520480056459,-112.13724290857833,1.0,1.0,0.8696464050524526,0.8303473730109192,1.0350215149949882,0.9008411774572405
source_0829_133953_300_181,6.7442481453196256e-06,0.0,0.0,6.690774819295697e-06,0.0,19.903104111114015,161.3886723540782,14,-53.06425549128163,-38.79644450402039,-116.64198360950343,-111.81649861410847,1.0,1.0,1.0003719452709392,0.8966659506821985,0.9336784926858681,1.0093234993914861
source_0829_133953_300_182,9.589562402652031e-06,0.0,0.0,9.542391507744163e-06,0.0,19.903104111114015,159.14194818618972,14,-53.420163084952556,-38.63326653198652,-116.79518535754856,-111.77196001210089,1.0,1.0,0.9796787057243672,1.3556325579674366,0.9041789096558386,0.9662124644766994
source_0829_133953_300_183,1.829576943699755e-06,0.0,0.0,1.7291926891482845e-06,0.0,23.68248997936912,209.52095790485217,18,-53.24196220659112,-39.368202364848784,-116.71819658643825,-111.9740776265072,1.0,1.0,0.8175189119195706,1.3421558526454922,1.0355640540956605,0.9874677170051651
